Year,State,Export Type,Exports (in million AUD),
2019,Queensland,STM (excl Nickel),4819,
2019,Queensland,ETM,3620,
2019,Queensland,Other,27858,
2019,South Australia,Unprocessed food,1750,
2019,South Australia,Processed food,3335,
2019,South Australia,Minerals,1377,
2019,South Australia,Fuels,642,
2019,South Australia,Other primary,365,
2019,South Australia,STM (excl Nickel),2476,
2019,South Australia,ETM,1061,
2019,South Australia,Other,692,
2019,Western Australia,Unprocessed food,6159,
2019,Western Australia,Processed food,1351,
2019,Western Australia,Minerals,82220,
2019,Western Australia,Fuels,5298,
2019,Western Australia,Other primary,856,
2019,Western Australia,STM (excl Nickel),1426,
2019,Western Australia,ETM,2782,
2019,Western Australia,Other,61778,
2019,Northern Territory,Unprocessed food,574,
2019,Northern Territory,Processed food,11,
2019,Northern Territory,Minerals,1017,
2019,Northern Territory,Fuels,193,
2019,Northern Territory,Other primary,28,
2019,Northern Territory,STM (excl Nickel),28,
2019,Northern Territory,ETM,64,
2019,Northern Territory,Other,7518,
2019,Australian Capital Territory,Unprocessed food,0,
2019,Australian Capital Territory,Processed food,0,
2019,Australian Capital Territory,Minerals,0,
2019,Australian Capital Territory,Fuels,0,
2019,Australian Capital Territory,Other primary,0,
2019,Australian Capital Territory,STM (excl Nickel),0,
2019,Australian Capital Territory,ETM,5,
2019,Australian Capital Territory,Other,10,
2019,Tasmania,Unprocessed food,286,
2019,Tasmania,Processed food,521,
2019,Tasmania,Minerals,563,
2019,Tasmania,Fuels,5,
2019,Tasmania,Other primary,140,
2019,Tasmania,STM (excl Nickel),1541,
2019,Tasmania,ETM,166,
2019,Tasmania,Other,435,
